iter	Passed	Remaining
0	137	137371
1	139	69528
2	141	46946
3	143	35622
4	144	28773
5	146	24262
6	147	20993
7	149	18532
8	150	16623
9	152	15108
10	154	13862
11	156	12858
12	158	11998
13	159	11248
14	161	10597
15	163	10028
16	164	9520
17	166	9057
18	167	8642
19	169	8285
20	170	7953
21	172	7659
22	173	7388
23	175	7132
24	176	6895
25	178	6672
26	179	6472
27	181	6283
28	182	6111
29	184	5952
30	185	5809
31	187	5686
32	189	5559
33	191	5435
34	192	5315
35	194	5205
36	195	5097
37	197	4991
38	198	4888
39	200	4800
40	201	4718
41	203	4632
42	204	4549
43	205	4470
44	207	4395
45	208	4326
46	210	4258
47	211	4192
48	212	4130
49	214	4067
50	215	4017
51	217	3963
52	218	3909
53	220	3857
54	221	3805
55	222	3754
56	224	3708
57	225	3663
58	226	3619
59	228	3579
60	230	3541
61	231	3501
62	232	3463
63	234	3426
64	235	3389
65	236	3353
66	238	3320
67	239	3278
68	240	3246
69	242	3221
70	244	3193
71	245	3167
72	247	3140
73	248	3112
74	250	3084
75	251	3059
76	253	3034
77	254	3008
78	255	2983
79	257	2959
80	259	2939
81	260	2915
82	261	2892
83	263	2868
84	263	2841
85	265	2819
86	266	2792
87	267	2772
88	268	2752
89	270	2733
90	271	2714
91	273	2701
92	275	2683
93	276	2664
94	277	2645
95	279	2628
96	280	2611
97	282	2596
98	283	2581
99	285	2567
100	287	2554
101	288	2539
102	290	2529
103	291	2514
104	293	2500
105	294	2487
106	296	2474
107	298	2463
108	299	2449
109	301	2436
110	302	2423
111	304	2411
112	305	2397
113	306	2384
114	308	2371
115	309	2356
116	310	2342
117	311	2330
118	312	2315
119	314	2303
120	315	2292
121	317	2281
122	317	2266
123	319	2254
124	320	2243
125	321	2232
126	323	2221
127	324	2207
128	325	2198
129	327	2189
130	328	2180
131	330	2170
132	331	2162
133	333	2152
134	334	2143
135	336	2134
136	337	2126
137	338	2116
138	340	2108
139	341	2099
140	343	2092
141	345	2087
142	347	2079
143	348	2071
144	349	2062
145	351	2054
146	352	2045
147	354	2037
148	355	2030
149	356	2022
150	358	2014
151	359	2007
152	361	2001
153	363	1994
154	364	1986
155	365	1978
156	366	1970
157	368	1962
158	369	1954
159	370	1946
160	372	1939
161	374	1934
162	375	1929
163	377	1924
164	379	1918
165	380	1911
166	381	1904
167	383	1897
168	384	1891
169	386	1887
170	388	1881
171	389	1876
172	391	1869
173	394	1873
174	396	1868
175	397	1863
176	399	1858
177	401	1853
178	402	1846
179	404	1840
180	404	1831
181	406	1827
182	407	1821
183	409	1815
184	410	1809
185	411	1802
186	413	1796
187	414	1790
188	415	1784
189	417	1778
190	418	1772
191	419	1766
192	421	1762
193	422	1756
194	424	1750
195	425	1745
196	426	1739
197	428	1733
198	429	1728
199	430	1722
200	432	1717
201	433	1712
202	435	1708
203	436	1703
204	437	1698
205	439	1692
206	440	1687
207	441	1682
208	443	1676
209	444	1671
210	445	1667
