iter	Passed	Remaining
0	1	1686
1	3	1625
2	4	1534
3	6	1502
4	7	1587
5	9	1592
6	11	1584
7	12	1559
8	14	1546
9	15	1531
10	16	1513
11	18	1505
12	19	1496
13	21	1508
14	23	1532
15	24	1522
16	26	1506
17	27	1497
18	29	1497
19	30	1500
20	32	1498
21	33	1504
22	35	1496
23	36	1490
24	38	1492
25	39	1491
26	41	1492
27	42	1492
28	44	1493
29	46	1493
30	47	1487
31	49	1485
32	50	1484
33	52	1488
34	53	1488
35	55	1486
36	57	1489
37	58	1486
38	60	1484
39	61	1481
40	63	1480
41	64	1482
42	66	1484
43	68	1497
44	70	1501
45	72	1499
46	73	1494
47	75	1493
48	76	1492
49	78	1488
50	79	1484
51	81	1480
52	83	1483
53	84	1483
54	86	1484
55	88	1484
56	89	1481
57	91	1478
58	92	1474
59	93	1472
60	95	1470
61	97	1471
62	98	1472
63	100	1469
64	101	1464
65	103	1459
66	104	1457
67	106	1453
68	107	1450
69	108	1447
70	110	1446
71	112	1445
72	113	1445
73	115	1442
74	116	1441
75	118	1440
76	120	1439
77	121	1438
78	123	1436
79	124	1432
80	126	1429
81	127	1431
82	128	1423
83	130	1420
84	131	1418
85	133	1417
86	134	1416
87	136	1413
88	138	1414
89	139	1411
90	141	1413
91	143	1415
92	144	1412
93	146	1411
94	147	1408
95	149	1406
96	150	1403
97	152	1401
98	153	1399
99	155	1396
100	156	1395
101	158	1395
102	160	1394
103	161	1392
104	163	1391
105	164	1389
106	166	1387
107	167	1386
108	169	1384
109	171	1384
110	172	1385
111	174	1381
112	175	1379
113	177	1378
114	178	1376
115	180	1374
116	181	1370
117	183	1370
118	184	1368
119	186	1368
120	188	1366
121	189	1361
122	190	1358
123	191	1355
124	193	1352
125	194	1348
126	195	1343
127	196	1340
128	198	1338
129	199	1334
130	201	1334
131	203	1336
132	204	1333
133	206	1331
134	207	1329
135	208	1326
136	210	1324
137	211	1322
138	213	1319
139	214	1318
140	216	1317
141	217	1314
142	219	1313
143	220	1310
144	221	1309
145	223	1306
146	224	1304
147	226	1301
148	227	1299
149	229	1298
150	230	1298
151	232	1298
152	234	1296
153	235	1295
154	237	1292
155	238	1289
156	239	1287
157	240	1284
158	242	1281
159	243	1278
160	244	1273
161	245	1272
162	247	1271
163	249	1270
164	250	1268
165	252	1267
166	253	1265
167	255	1263
168	256	1261
169	258	1260
170	259	1259
171	261	1257
172	262	1256
173	264	1255
174	265	1253
175	267	1251
176	268	1249
177	270	1247
178	271	1246
179	273	1244
180	274	1242
181	276	1241
182	277	1239
183	279	1238
184	280	1236
185	282	1234
186	283	1232
187	285	1231
188	286	1228
189	287	1226
190	289	1225
191	290	1224
192	292	1223
193	294	1222
194	295	1220
195	296	1218
196	298	1215
197	299	1213
198	301	1211
199	302	1209
200	303	1207
201	305	1205
202	306	1204
203	308	1202
204	309	1200
205	310	1198
206	312	1196
207	313	1194
208	315	1192
209	316	1190
210	317	1188
211	319	1186
212	320	1185
213	322	1184
214	323	1182
215	325	1180
216	326	1179
217	328	1177
218	329	1175
219	331	1173
220	332	1171
221	333	1170
222	335	1169
223	337	1169
224	338	1167
225	340	1165
226	342	1164
227	343	1162
228	345	1161
229	346	1159
230	347	1157
231	349	1156
232	351	1155
233	352	1154
234	354	1152
235	355	1151
236	357	1149
237	358	1147
238	359	1145
239	361	1144
240	362	1142
241	364	1141
242	365	1140
243	367	1139
244	369	1137
245	370	1135
246	371	1134
247	373	1132
248	374	1130
249	376	1129
250	378	1128
251	379	1126
252	381	1125
253	382	1123
254	383	1121
255	385	1119
256	386	1117
257	387	1115
258	389	1113
259	390	1111
260	391	1109
261	393	1107
262	394	1105
263	396	1104
264	397	1102
265	398	1100
266	400	1098
267	401	1096
268	402	1094
269	404	1092
270	405	1090
271	406	1088
272	407	1086
273	409	1083
274	410	1082
275	412	1080
276	413	1078
277	414	1076
278	415	1074
279	417	1072
280	418	1070
281	419	1068
282	420	1066
283	422	1064
284	423	1062
285	424	1060
286	426	1059
287	427	1057
288	429	1055
289	430	1053
290	431	1051
291	433	1049
292	434	1048
293	435	1046
294	436	1044
295	438	1042
296	439	1040
297	441	1039
298	442	1037
299	443	1035
300	445	1034
301	446	1032
302	448	1031
303	449	1029
304	450	1027
305	452	1025
306	453	1023
307	454	1021
308	456	1021
309	458	1020
310	459	1018
311	460	1016
312	462	1014
313	463	1012
314	465	1011
315	466	1009
316	467	1008
317	469	1006
318	471	1005
319	472	1003
320	473	1001
321	474	999
322	476	997
323	477	996
324	478	994
325	480	992
326	481	990
327	482	988
328	484	987
329	485	985
330	486	984
331	488	982
332	489	980
333	490	978
334	492	977
335	493	975
336	494	973
337	495	971
338	497	969
339	498	967
340	500	966
341	501	965
342	502	963
343	504	961
344	506	961
345	507	959
346	509	958
347	510	956
348	511	954
349	513	953
350	515	952
351	516	951
352	518	949
353	519	948
354	521	947
355	522	946
356	524	944
357	525	943
358	527	941
359	529	940
360	530	939
361	532	938
362	534	937
363	536	936
364	537	935
365	539	933
366	540	932
367	542	931
368	543	930
369	545	929
370	547	928
371	549	927
372	550	925
373	552	924
374	554	923
375	555	921
376	556	920
377	558	918
378	560	917
379	561	916
380	563	914
381	564	913
382	565	911
383	567	909
384	568	907
385	569	906
386	571	904
387	572	902
388	573	901
389	575	900
390	577	898
391	578	897
392	579	895
393	580	893
394	582	891
395	583	890
396	584	888
397	586	886
398	587	884
399	589	883
400	591	883
401	592	881
402	594	880
403	595	879
404	597	877
405	598	876
406	600	874
407	601	873
408	603	872
409	605	871
410	606	869
411	608	867
412	609	866
413	610	864
414	611	862
415	613	860
416	614	859
417	615	857
418	617	855
419	618	854
420	620	852
421	621	851
422	623	849
423	624	848
424	626	847
425	627	845
426	629	844
427	630	842
428	632	841
429	633	840
430	635	838
431	636	837
432	637	835
433	639	833
434	640	831
435	641	830
436	643	828
437	644	826
438	645	824
439	646	823
440	648	821
441	649	820
442	651	818
443	652	816
444	653	815
445	654	813
446	656	811
447	657	810
448	659	809
449	660	807
450	662	806
451	663	804
452	665	803
453	666	801
454	667	799
455	669	798
456	670	796
457	671	794
458	672	793
459	674	791
460	675	789
461	676	788
462	678	786
463	679	785
464	680	783
465	682	781
466	683	780
467	684	778
468	686	776
469	687	774
470	688	773
471	689	771
472	690	769
473	692	768
474	693	766
475	694	765
476	696	763
477	697	761
478	698	760
479	700	758
480	701	756
481	702	755
482	703	753
483	705	751
484	706	750
485	707	748
486	709	747
487	710	745
488	712	744
489	713	742
490	714	740
491	716	739
492	717	737
493	718	735
494	719	734
495	720	732
496	722	730
497	723	729
498	725	728
499	726	726
500	727	724
501	729	723
502	730	721
503	731	720
504	732	718
505	734	716
506	735	715
507	736	713
508	739	713
509	740	711
510	742	710
511	744	709
512	745	707
513	747	706
514	748	705
515	750	703
516	752	702
517	754	701
518	755	700
519	757	699
520	758	697
521	760	695
522	761	694
523	762	692
524	764	691
525	765	689
526	767	688
527	768	687
528	770	685
529	771	684
530	772	682
531	773	680
532	775	679
533	776	677
534	777	676
535	779	674
536	780	672
537	781	671
538	783	670
539	785	668
540	786	667
541	787	665
542	789	664
543	790	662
544	792	661
545	793	660
546	795	658
547	797	657
548	798	656
549	800	654
550	801	653
551	803	651
552	805	650
553	806	649
554	807	647
555	809	646
556	810	644
557	811	643
558	813	641
559	814	640
560	816	638
561	817	637
562	818	635
563	820	634
564	821	632
565	822	631
566	824	629
567	825	627
568	826	626
569	828	625
570	830	623
571	831	622
572	833	620
573	834	619
574	836	618
575	838	616
576	839	615
577	840	613
578	842	612
579	844	611
580	846	610
581	847	608
582	848	607
583	849	605
584	851	603
585	852	602
586	853	600
587	854	599
588	856	597
589	857	596
590	859	594
591	860	593
592	862	591
593	863	590
594	864	588
595	865	586
596	867	585
597	868	583
598	869	582
599	871	580
600	872	579
601	874	578
602	875	576
603	876	574
604	878	573
605	879	572
606	881	570
607	882	569
608	884	567
609	885	566
610	887	565
611	889	563
612	891	562
613	892	561
614	894	559
615	896	558
616	897	557
617	899	555
618	901	554
619	903	553
620	905	552
621	906	551
622	908	549
623	910	548
624	912	547
625	914	546
626	916	545
627	917	543
628	919	542
629	921	541
630	923	539
631	924	538
632	925	536
633	926	535
634	928	533
635	929	531
636	931	530
637	933	529
638	934	528
639	936	526
640	937	525
641	939	523
642	940	522
643	942	520
644	943	519
645	945	518
646	947	516
647	948	515
648	949	513
649	951	512
650	952	510
651	954	509
652	955	507
653	956	506
654	958	504
655	959	503
656	960	501
657	962	500
658	964	498
659	965	497
660	966	495
661	968	494
662	969	492
663	971	491
664	972	489
665	973	488
666	975	486
667	977	485
668	978	484
669	980	482
670	981	481
671	982	479
672	984	478
673	985	476
674	986	475
675	987	473
676	989	471
677	991	470
678	992	469
679	994	467
680	995	466
681	996	464
682	998	463
683	999	461
684	1000	460
685	1001	458
686	1003	457
687	1004	455
688	1007	454
689	1008	453
690	1009	451
691	1011	450
692	1012	448
693	1013	447
694	1015	445
695	1016	443
696	1017	442
697	1019	441
698	1021	439
699	1022	438
700	1023	436
701	1024	435
702	1026	433
703	1027	432
704	1028	430
705	1030	428
706	1031	427
707	1032	425
708	1034	424
709	1035	423
710	1037	421
711	1038	420
712	1039	418
713	1041	416
714	1042	415
715	1043	414
716	1045	412
717	1046	411
718	1048	409
719	1049	408
720	1051	406
721	1053	405
722	1054	403
723	1055	402
724	1058	401
725	1059	399
726	1060	398
727	1062	396
728	1063	395
729	1065	393
730	1066	392
731	1068	391
732	1069	389
733	1071	388
734	1072	386
735	1074	385
736	1075	383
737	1077	382
738	1078	381
739	1080	379
740	1082	378
741	1083	376
742	1084	375
743	1086	373
744	1087	372
745	1088	370
746	1089	369
747	1091	367
748	1092	366
749	1094	364
750	1095	363
751	1097	361
752	1098	360
753	1099	358
754	1101	357
755	1102	355
756	1103	354
757	1105	352
758	1106	351
759	1107	349
760	1109	348
761	1111	347
762	1112	345
763	1113	344
764	1115	342
765	1117	341
766	1118	339
767	1120	338
768	1122	337
769	1123	335
770	1125	334
771	1127	332
772	1128	331
773	1130	329
774	1131	328
775	1133	327
776	1134	325
